Subject,Release,Acquisition,Gender,Age,3T_Full_MR_Compl,7T_Full_MR_Compl,MEG_FullProt_Compl
204420,S900,Q09,F,26-30,true,false,false
204521,S500,Q07,F,31-35,true,true,true
204622,S900,Q09,F,26-30,true,false,false
205119,Q2,Q03,M,31-35,true,false,true
205220,S500,Q05,F,26-30,true,true,false
205725,Q2,Q02,F,22-25,true,false,false
205826,Q3,Q03,M,31-35,true,false,false
206222,S900,Q10,M,26-30,true,false,false
206323,S1200,Q12,F,31-35,true,false,false
206525,S1200,Q09,M,26-30,true,false,false
206727,S1200,Q09,M,22-25,true,false,false
206828,S1200,Q11,M,22-25,true,false,false
206929,S1200,Q12,M,31-35,true,false,false
207123,S900,Q10,M,26-30,true,false,false
207426,S900,Q08,M,26-30,true,false,false
207628,Q2,Q02,M,31-35,false,false,false
208024,S500,Q04,F,31-35,false,false,false
208125,S900,Q08,F,26-30,true,false,false
208226,Q3,Q03,F,22-25,true,false,false
208327,S500,Q06,M,26-30,true,false,false
208428,Q3,Q04,F,31-35,false,false,false
208630,S1200,Q12,M,31-35,false,false,false
208832,S900,Q04,F,31-35,false,false,false
209127,S900,Q07,F,31-35,true,false,false
209228,S900,Q08,F,26-30,true,true,false
209329,S900,Q11,F,31-35,true,false,false
209531,S1200,Q12,F,36+,false,false,false
209834,S500,Q05,F,26-30,false,false,false
209935,Q3,Q03,M,22-25,true,false,false
210011,S500,Q05,M,22-25,true,false,false
210112,S1200,Q11,M,22-25,true,false,false
210415,S500,Q06,F,26-30,true,false,false
210617,Q1,Q02,F,31-35,true,false,false
211114,S900,Q06,F,26-30,true,false,false
211215,S500,Q04,M,26-30,true,false,false
211316,S500,Q06,F,31-35,true,false,false
211417,Q3,Q03,M,36+,true,false,false
211518,S900,Q07,F,22-25,false,false,false
211619,S1200,Q13,M,26-30,true,false,false
211720,Q3,Q04,M,31-35,true,false,false
211821,S1200,Q06,M,26-30,true,false,false
211922,S500,Q06,F,26-30,true,false,false
212015,S900,Q11,M,22-25,true,false,false
212116,S500,Q06,M,26-30,true,false,false
212217,S500,Q05,F,22-25,true,false,false
212318,Q2,Q02,F,31-35,true,false,true
212419,S500,Q05,F,26-30,true,true,false
212520,S1200,Q12,F,31-35,false,false,false
212823,S900,Q10,M,22-25,true,false,true
