Subject,Release,Acquisition,Gender,Age,3T_Full_MR_Compl,7T_Full_MR_Compl,MEG_FullProt_Compl,DDisc_AUC_200,DDisc_AUC_40K
115825,S900,Q10,M,22-25,true,true,false,0.056577083,0.13398458
116524,S500,Q05,M,26-30,true,false,false,0.03170729,0.04739604
116726,S900,Q08,M,26-30,true,true,true,0.24498855,0.49101582
117021,S1200,Q12,F,26-30,true,false,false,0.46725416,0.7541669
117122,Q1,Q01,F,26-30,true,false,false,0.2666031,0.6640627
117324,Q3,Q03,F,22-25,true,false,false,0.037566666,0.070442915
117930,S900,Q10,F,31-35,true,false,false,0.090301044,0.060416874
118124,S900,Q07,F,31-35,true,false,false,0.09511875,0.38723978
118225,S900,Q08,M,26-30,true,true,false,0.299025,0.33919293
118528,S500,Q04,F,26-30,true,false,false,0.1929052,0.43398458
118730,Q2,Q03,M,22-25,true,false,false,0.50983226,0.7781252
118831,S1200,Q13,M,22-25,true,false,false,0.617775,0.70976585
118932,Q1,Q02,M,26-30,true,false,false,0.1880875,0.7906252
119025,S1200,Q12,M,26-30,true,false,false,0.98444164,0.9453127
119126,S900,Q11,F,22-25,true,false,false,0.06386875,0.24153666
120111,Q3,Q03,F,26-30,true,false,false,0.019467708,0.2576825
120212,Q1,Q01,F,31-35,true,false,false,0.13991041,0.3906252
120414,S1200,Q12,F,26-30,true,false,false,0.2334,0.90546894
120515,S500,Q04,F,26-30,true,false,false,0.7099625,0.9593752
120717,S900,Q09,F,31-35,true,false,false,0.08535313,0.25585958
121416,S900,Q08,M,26-30,true,false,false,0.08951979,0.019531459
121618,S500,Q05,M,31-35,true,false,false,0.46855626,0.56835955
121921,S900,Q07,M,31-35,true,false,false,0.55722815,0.8968752
122317,Q3,Q04,M,31-35,true,false,false,0.34017083,0.7915367
